index,score,tox,assignment,schema,name,circuit,id
0,0.67421,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-SrpR;pTet;pBetIjs;NOR_js2-PhlF;pSrpR;pPhlF;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment0,mux4x1,org.cellocad.mux41.0
1,0.65593,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-SrpR;pTet;pAmtRjs;NOR_js2-PhlF;pSrpR;pPhlF;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment1,mux4x1,org.cellocad.mux41.1
2,0.63181,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-SrpR;pTet;pAmtRjs;NOR_js2-BetI;pSrpR;pBetIjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment2,mux4x1,org.cellocad.mux41.2
3,0.62749,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-SrpR;pPhlF;pTet;NOR_js2-AmtR;pSrpR;pAmtRjs;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment3,mux4x1,org.cellocad.mux41.3
4,0.62535,1.00000,pTac;NOR_js2-SrpR;pTac;pBAD;NOR_js2-AmtR;pSrpR;pTet;NOR_js2-PhlF;pPhlF;pAmtRjs;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment4,mux4x1,org.cellocad.mux41.4
5,0.61769,1.00000,pTac;NOR_js2-SrpR;pTac;pBAD;NOR_js2-PhlF;pSrpR;pTet;NOR_js2-AmtR;pPhlF;pAmtRjs;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment5,mux4x1,org.cellocad.mux41.5
6,0.60229,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-AmtR;pPhlF;pTet;NOR_js2-SrpR;pSrpR;pAmtRjs;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment6,mux4x1,org.cellocad.mux41.6
7,0.57523,1.00000,pTac;NOR_js2-SrpR;pTac;pBAD;NOR_js2-AmtR;pSrpR;pTet;NOR_js2-BetI;pAmtRjs;pBetIjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment7,mux4x1,org.cellocad.mux41.7
8,0.55660,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-AmtR;pTet;pBetIjs;NOR_js2-PhlF;pPhlF;pAmtRjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment8,mux4x1,org.cellocad.mux41.8
9,0.52989,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-SrpR;pPhlF;pTet;NOR_js2-BetI;pSrpR;pBetIjs;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment9,mux4x1,org.cellocad.mux41.9
10,0.52242,1.00000,pTac;NOR_js2-SrpR;pTac;pBAD;NOR_js2-PhlF;pSrpR;pTet;NOR_js2-BetI;pPhlF;pBetIjs;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment10,mux4x1,org.cellocad.mux41.10
11,0.51526,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-PhlF;pTet;pAmtRjs;NOR_js2-BetI;pPhlF;pBetIjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment11,mux4x1,org.cellocad.mux41.11
12,0.49370,1.00000,pTac;NOR_js2-SrpR;pTac;pBAD;NOR_js2-BetI;pSrpR;pTet;NOR_js2-AmtR;pAmtRjs;pBetIjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment12,mux4x1,org.cellocad.mux41.12
13,0.45571,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-PhlF;pTet;pAmtRjs;NOR_js2-SrpR;pSrpR;pPhlF;NOR_js2-BetI;pBetIjs;output_YFP,org.cellocad.circuit.mux,assignment13,mux4x1,org.cellocad.mux41.13
14,0.44694,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-AmtR;pPhlF;pTet;NOR_js2-BetI;pAmtRjs;pBetIjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment14,mux4x1,org.cellocad.mux41.14
15,0.43926,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-SrpR;pTet;pBetIjs;NOR_js2-AmtR;pSrpR;pAmtRjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment15,mux4x1,org.cellocad.mux41.15
16,0.43092,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-BetI;pTet;pAmtRjs;NOR_js2-PhlF;pPhlF;pBetIjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment16,mux4x1,org.cellocad.mux41.16
17,0.42976,1.00000,pTac;NOR_js2-SrpR;pTac;BAD;NOR_js2-BetI;pSrpR;pTet;NOR_js2-PhlF;pPhlF;pBetIjs;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment17,mux4x1,org.cellocad.mux41.17
18,0.40068,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-BetI;pPhlF;pTet;NOR_js2-SrpR;pSrpR;pBetIjs;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment18,mux4x1,org.cellocad.mux41.18
19,0.39189,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-PhlF;pTet;pBetIjs;NOR_js2-SrpR;pSrpR;pPhlF;NOR_js2-AmtR;pAmtRjs;output_YFP,org.cellocad.circuit.mux,assignment19,mux4x1,org.cellocad.mux41.19
20,0.39083,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-PhlF;pTet;pBetIjs;NOR_js2-AmtR;pPhlF;pAmtRjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment20,mux4x1,org.cellocad.mux41.20
21,0.36029,1.00000,pTac;NOR_js2-AmtR;pTac;pBAD;NOR_js2-BetI;pTet;pAmtRjs;NOR_js2-SrpR;pSrpR;pBetIjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment21,mux4x1,org.cellocad.mux41.21
22,0.35251,1.00000,pTac;NOR_js2-PhlF;pTac;pBAD;NOR_js2-BetI;pPhlF;pTet;NOR_js2-AmtR;pAmtRjs;pBetIjs;NOR_js2-SrpR;pSrpR;output_YFP,org.cellocad.circuit.mux,assignment22,mux4x1,org.cellocad.mux41.22
23,0.29712,1.00000,pTac;NOR_js2-BetI;pTac;pBAD;NOR_js2-AmtR;pTet;pBetIjs;NOR_js2-SrpR;pSrpR;pAmtRjs;NOR_js2-PhlF;pPhlF;output_YFP,org.cellocad.circuit.mux,assignment23,mux4x1,org.cellocad.mux41.23
